title,year,duration,genre,rating,movie_url
The Shawshank Redemption,1994,2h 22min,Drama,9.3,https://www.imdb.com/title/tt0111161/
Pather Panchali,1955,2h 5min,Drama,8.5,https://www.imdb.com/title/tt0048473/
Nuovo Cinema Paradiso,1988,2h 35min,Drama,8.5,https://www.imdb.com/title/tt0095765/
Hotaru no haka,1988,1h 29min,Animation,8.5,https://www.imdb.com/title/tt0095327/
Léon,1994,1h 50min,Action,8.5,https://www.imdb.com/title/tt0110413/
The Lion King,1994,1h 28min,Animation,8.5,https://www.imdb.com/title/tt0110357/
Gladiator,2000,2h 35min,Action,8.5,https://www.imdb.com/title/tt0172495/
American History X,1998,1h 59min,Drama,8.5,https://www.imdb.com/title/tt0120586/
Whiplash,2014,1h 46min,Drama,8.5,https://www.imdb.com/title/tt2582802/
The Prestige,2006,2h 10min,Drama,8.5,https://www.imdb.com/title/tt0482571/
Intouchables,2011,1h 52min,Biography,8.5,https://www.imdb.com/title/tt1675434/
It's a Wonderful Life,1946,2h 10min,Drama,8.6,https://www.imdb.com/title/tt0038650/
The Pianist,2002,2h 30min,Biography,8.5,https://www.imdb.com/title/tt0253474/
Shichinin no samurai,1954,3h 27min,,8.6,https://www.imdb.com/title/tt0047478/
The Departed,2006,2h 31min,Crime,8.5,https://www.imdb.com/title/tt0407887/
Seppuku,1962,2h 13min,,8.6,https://www.imdb.com/title/tt0056058/
3 Idiots,2009,2h 50min,Comedy,8.4,https://www.imdb.com/title/tt1187043/
Dangal,2016,2h 41min,Action,8.4,https://www.imdb.com/title/tt5074352/
Django Unchained,2012,2h 45min,Drama,8.4,https://www.imdb.com/title/tt1853728/
Coco,2017,1h 45min,Animation,8.4,https://www.imdb.com/title/tt2380307/
Kimi no na wa.,2016,1h 46min,Animation,8.4,https://www.imdb.com/title/tt5311514/
Avengers: Endgame,2019,3h 1min,Action,8.4,https://www.imdb.com/title/tt4154796/
Hamilton,2020,2h 40min,Biography,8.4,https://www.imdb.com/title/tt8503618/
Modern Times,1936,1h 27min,,8.5,https://www.imdb.com/title/tt0027977/
Joker,2019,2h 2min,Crime,8.4,https://www.imdb.com/title/tt7286456/
Capharnaüm,2018,2h 6min,Drama,8.4,https://www.imdb.com/title/tt8267604/
The Silence of the Lambs,1991,1h 58min,Crime,8.6,https://www.imdb.com/title/tt0102926/
City Lights,1931,1h 27min,,8.5,https://www.imdb.com/title/tt0021749/
Se7en,1995,2h 7min,Crime,8.6,https://www.imdb.com/title/tt0114369/
La vita è bella,1997,1h 56min,Comedy,8.6,https://www.imdb.com/title/tt0118799/
Jodaeiye Nader az Simin,2011,2h 3min,Drama,8.3,https://www.imdb.com/title/tt1832382/
